 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +3.0000000000000000E+02,  +4.0000381379279503E+01,
  +3.0100000000000000E+02,  +4.0000239517824568E+01,
  +3.0200000000000000E+02,  +4.0000155686297965E+01,
  +3.0300000000000000E+02,  +4.0000102631925458E+01,
  +3.0400000000000000E+02,  +4.0000063174896098E+01,
  +3.0500000000000000E+02,  +4.3436998828141022E+01,
  +3.0600000000000000E+02,  +5.1276552650104115E+01,
  +3.0700000000000000E+02,  +5.1292375274780206E+01,
  +3.0800000000000000E+02,  +5.1309023918807569E+01,
  +3.0900000000000000E+02,  +5.1326320014026415E+01,
  +3.1000000000000000E+02,  +5.1342046869031677E+01,
  +3.1100000000000000E+02,  +5.1357501548027344E+01,
  +3.1200000000000000E+02,  +5.1272595127357299E+01,
  +3.1300000000000000E+02,  +5.1344942810903341E+01,
  +3.1400000000000000E+02,  +5.1218144972722179E+01,
  +3.1500000000000000E+02,  +5.1315373319072272E+01,
  +3.1600000000000000E+02,  +5.1337429926151060E+01,
  +3.1700000000000000E+02,  +5.1360656742904403E+01,
  +3.1800000000000000E+02,  +5.1384126621270667E+01,
  +3.1900000000000000E+02,  +5.1404095247180074E+01,
  +3.2000000000000000E+02,  +5.1132132466036218E+01,
  +3.2100000000000000E+02,  +5.1112239848304498E+01,
  +3.2200000000000000E+02,  +5.1100721828956708E+01,
  +3.2300000000000000E+02,  +5.1094344079679161E+01,
  +3.2400000000000000E+02,  +5.1406051959094910E+01,
  +3.2500000000000000E+02,  +5.1459626636017020E+01,
  +3.2600000000000000E+02,  +5.1499288504817187E+01,
  +3.2700000000000000E+02,  +5.1534661187208712E+01,
  +3.2800000000000000E+02,  +5.1565898858970769E+01,
  +3.2900000000000000E+02,  +4.9750092703441489E+01,
  +3.3000000000000000E+02,  +4.7927945899330666E+01,
  +3.3100000000000000E+02,  +4.5969490606539722E+01,
  +3.3200000000000000E+02,  +4.1163408301562505E+01,
  +3.3300000000000000E+02,  +4.3172077509293544E+01,
  +3.3400000000000000E+02,  +4.0213592496411458E+01,
  +3.3500000000000000E+02,  +4.0031696644770697E+01,
  +3.3600000000000000E+02,  +4.0025628248160579E+01,
  +3.3700000000000000E+02,  +4.0020721660242963E+01,
  +3.3800000000000000E+02,  +4.0016901533788932E+01,
  +3.3900000000000000E+02,  +4.0013664998504964E+01,
  +3.4000000000000000E+02,  +4.0009627578026389E+01,
  +3.4100000000000000E+02,  +4.0006055674181731E+01,
  +3.4200000000000000E+02,  +4.0003506476260760E+01,
  +3.4300000000000000E+02,  +4.0001830979354665E+01,
  +3.4400000000000000E+02,  +4.0000950697962928E+01,
  +3.4500000000000000E+02,  +4.0000493630151730E+01,
  +3.4600000000000000E+02,  +4.0000263674872649E+01,
  +3.4700000000000000E+02,  +4.0000138455209708E+01,
  +3.4800000000000000E+02,  +4.2909423819371142E+01,
  +3.4900000000000000E+02,  +4.8510120568752797E+01,
  +3.5000000000000000E+02,  +4.8524581293824255E+01,
  +3.5100000000000000E+02,  +4.8540938782937829E+01,
  +3.5200000000000000E+02,  +4.8558374778294699E+01,
  +3.5300000000000000E+02,  +4.8576298244850385E+01,
  +3.5400000000000000E+02,  +4.8594401946342941E+01,
  +3.5500000000000000E+02,  +4.2586371556877609E+01,
  +3.5600000000000000E+02,  +4.2321850131981620E+01,
  +3.5700000000000000E+02,  +4.2317313331788903E+01,
  +3.5800000000000000E+02,  +4.2313640124784982E+01,
  +3.5900000000000000E+02,  +4.2309445319980526E+01,
  +3.6000000000000000E+02,  +4.9290974782501877E+01,
  +3.6100000000000000E+02,  +4.9304442482185721E+01,
  +3.6200000000000000E+02,  +4.9319365249633066E+01,
  +3.6300000000000000E+02,  +4.9335111803818592E+01,
  +3.6400000000000000E+02,  +4.9351763655972924E+01,
  +3.6500000000000000E+02,  +4.9370097100830250E+01,
  +3.6600000000000000E+02,  +4.2072708966282846E+01,
  +3.6700000000000000E+02,  +4.0005816106131419E+01,
  +3.6800000000000000E+02,  +4.0003473325688709E+01,
  +3.6900000000000000E+02,  +4.0001876961587037E+01,
  +3.7000000000000000E+02,  +4.0001014250007053E+01,
  +3.7100000000000000E+02,  +4.0000571327912574E+01,
  +3.7200000000000000E+02,  +4.2545425202478071E+01,
  +3.7300000000000000E+02,  +5.0477083161152521E+01,
  +3.7400000000000000E+02,  +5.0491223386469414E+01,
  +3.7500000000000000E+02,  +5.0506794368304000E+01,
  +3.7600000000000000E+02,  +5.0523498181090730E+01,
  +3.7700000000000000E+02,  +5.0540679950951812E+01,
  +3.7800000000000000E+02,  +5.0558442375921047E+01,
  +3.7900000000000000E+02,  +4.6160969087217069E+01,
  +3.8000000000000000E+02,  +4.0988947866111999E+01,
  +3.8100000000000000E+02,  +4.0012090970971620E+01,
  +3.8200000000000000E+02,  +4.0011095806728179E+01,
  +3.8300000000000000E+02,  +4.0010056350912322E+01,
  +3.8400000000000000E+02,  +4.0009030395668148E+01,
  +3.8500000000000000E+02,  +4.0430201238775879E+01,
  +3.8600000000000000E+02,  +4.8385446748903647E+01,
  +3.8700000000000000E+02,  +4.8402474097732892E+01,
  +3.8800000000000000E+02,  +4.5070792922772355E+01,
  +3.8900000000000000E+02,  +4.8437507160468918E+01,
  +3.9000000000000000E+02,  +4.4305153624673579E+01,
