 TIME                                   ,Massenstrom                             ,
  +2.2400000000000000E+02,  +4.1329827045204490E+02,
  +2.2500000000000000E+02,  +3.7885674101889498E+02,
  +2.2600000000000000E+02,  +3.7024636899306381E+02,
  +2.2700000000000000E+02,  +3.3580483955991394E+02,
  +2.2800000000000000E+02,  +3.2719444695527380E+02,
  +2.2900000000000000E+02,  +3.0136331021286770E+02,
  +2.3000000000000000E+02,  +3.2719444695527380E+02,
  +2.3100000000000000E+02,  +3.0136331021286770E+02,
  +2.3200000000000000E+02,  +3.4441521167184885E+02,
  +2.3300000000000000E+02,  +3.8746711313082989E+02,
  +2.3400000000000000E+02,  +4.3051901458981104E+02,
  +2.3500000000000000E+02,  +4.2190864247787613E+02,
  +2.3600000000000000E+02,  +4.3912938670174594E+02,
  +2.3700000000000000E+02,  +4.3051901458981104E+02,
  +2.3800000000000000E+02,  +2.4109064403731162E+02,
  +2.3900000000000000E+02,  +1.9803874257833053E+02,
  +2.4000000000000000E+02,  +1.9803874257833053E+02,
  +2.4100000000000000E+02,  +1.8942837055249942E+02,
  +2.4200000000000000E+02,  +1.8942837055249942E+02,
  +2.4300000000000000E+02,  +1.8942837055249942E+02,
  +2.4400000000000000E+02,  +2.1525950729490552E+02,
  +2.4500000000000000E+02,  +3.1858407492944275E+02,
  +2.4600000000000000E+02,  +4.8218128816072709E+02,
  +2.4700000000000000E+02,  +4.1329827045204490E+02,
  +2.4800000000000000E+02,  +3.6163595580961493E+02,
  +2.4900000000000000E+02,  +3.3580483955991394E+02,
  +2.5000000000000000E+02,  +2.9275293810093279E+02,
  +2.5100000000000000E+02,  +3.0997368232480261E+02,
  +2.5200000000000000E+02,  +2.8414254549629277E+02,
  +2.5300000000000000E+02,  +2.9275293810093279E+02,
  +2.5400000000000000E+02,  +2.5831140875388667E+02,
  +2.5500000000000000E+02,  +2.8414254549629277E+02,
  +2.5600000000000000E+02,  +3.1858407492944275E+02,
  +2.5700000000000000E+02,  +3.4441521167184885E+02,
  +2.5800000000000000E+02,  +3.7024636899306381E+02,
  +2.5900000000000000E+02,  +3.7024636899306381E+02,
  +2.6000000000000000E+02,  +3.8746711313082989E+02,
  +2.6100000000000000E+02,  +3.2719444695527380E+02,
  +2.6200000000000000E+02,  +2.2386987940684043E+02,
  +2.6300000000000000E+02,  +2.1525950729490552E+02,
  +2.6400000000000000E+02,  +2.0664913518297061E+02,
  +2.6500000000000000E+02,  +1.9803874257833053E+02,
  +2.6600000000000000E+02,  +2.0664913518297061E+02,
  +2.6700000000000000E+02,  +2.1525950729490552E+02,
  +2.6800000000000000E+02,  +2.3248027201148054E+02,
  +2.6900000000000000E+02,  +3.3580483955991394E+02,
  +2.7000000000000000E+02,  +4.5635017191102605E+02,
  +2.7100000000000000E+02,  +4.4773975872757717E+02,
  +2.7200000000000000E+02,  +3.8746711313082989E+02,
  +2.7300000000000000E+02,  +3.7024636899306381E+02,
  +2.7400000000000000E+02,  +3.2719444695527380E+02,
  +2.7500000000000000E+02,  +3.2719444695527380E+02,
  +2.7600000000000000E+02,  +3.0136331021286770E+02,
  +2.7700000000000000E+02,  +3.2719444695527380E+02,
  +2.7800000000000000E+02,  +3.2719444695527380E+02,
  +2.7900000000000000E+02,  +3.1858407492944275E+02,
  +2.8000000000000000E+02,  +3.6163595580961493E+02,
  +2.8100000000000000E+02,  +3.6163595580961493E+02,
  +2.8200000000000000E+02,  +4.2190864247787613E+02,
  +2.8300000000000000E+02,  +4.1329827045204490E+02,
  +2.8400000000000000E+02,  +4.4773975872757717E+02,
  +2.8500000000000000E+02,  +4.1329827045204490E+02,
