 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +3.4900000000000000E+02,  +5.3276078495751271E+01,
  +3.5000000000000000E+02,  +5.5705867645112129E+01,
  +3.5100000000000000E+02,  +5.7162807192422953E+01,
  +3.5200000000000000E+02,  +5.7798539006411865E+01,
  +3.5300000000000000E+02,  +5.8000880422016422E+01,
  +3.5400000000000000E+02,  +5.5229382350873777E+01,
  +3.5500000000000000E+02,  +5.4186733054209036E+01,
  +3.5600000000000000E+02,  +5.5099472167395810E+01,
  +3.5700000000000000E+02,  +5.5506436496277104E+01,
  +3.5800000000000000E+02,  +5.6867104363705927E+01,
  +3.5900000000000000E+02,  +5.8475430646658289E+01,
  +3.6000000000000000E+02,  +5.9481866140412876E+01,
  +3.6100000000000000E+02,  +6.0152962197064994E+01,
  +3.6200000000000000E+02,  +6.0534006097048511E+01,
  +3.6300000000000000E+02,  +6.0826844710040952E+01,
  +3.6400000000000000E+02,  +6.0899461166012479E+01,
  +3.6500000000000000E+02,  +6.0159814168795926E+01,
  +3.6600000000000000E+02,  +5.5795098205486482E+01,
  +3.6700000000000000E+02,  +4.9750895520525184E+01,
  +3.6800000000000000E+02,  +5.0089805852284009E+01,
  +3.6900000000000000E+02,  +4.8559443204203241E+01,
  +3.7000000000000000E+02,  +4.9755190976168848E+01,
  +3.7100000000000000E+02,  +4.8707060226107103E+01,
  +3.7200000000000000E+02,  +5.0241362803052333E+01,
  +3.7300000000000000E+02,  +5.3882714806934693E+01,
  +3.7400000000000000E+02,  +5.6280624388774648E+01,
  +3.7500000000000000E+02,  +5.7594436346317281E+01,
  +3.7600000000000000E+02,  +5.8178927393780612E+01,
  +3.7700000000000000E+02,  +5.8306618604818233E+01,
  +3.7800000000000000E+02,  +5.8084819736986731E+01,
  +3.7900000000000000E+02,  +5.7706005570607395E+01,
  +3.8000000000000000E+02,  +5.4231717460224303E+01,
  +3.8100000000000000E+02,  +4.9165504107536862E+01,
  +3.8200000000000000E+02,  +5.0628685507854925E+01,
  +3.8300000000000000E+02,  +5.0819685092329074E+01,
  +3.8400000000000000E+02,  +4.8271882423365668E+01,
  +3.8500000000000000E+02,  +5.0939591227590078E+01,
  +3.8600000000000000E+02,  +5.5171061416910227E+01,
  +3.8700000000000000E+02,  +5.7655156303660846E+01,
  +3.8800000000000000E+02,  +5.6385176103836422E+01,
  +3.8900000000000000E+02,  +5.5731539434143151E+01,
  +3.9000000000000000E+02,  +5.2167461537297186E+01,
  +3.9100000000000000E+02,  +5.1121389535900477E+01,
  +3.9200000000000000E+02,  +4.8311114383077637E+01,
  +3.9300000000000000E+02,  +4.9251354078565811E+01,
  +3.9400000000000000E+02,  +5.2652456926288799E+01,
  +3.9500000000000000E+02,  +5.5089566011059539E+01,
  +3.9600000000000000E+02,  +5.6863298726491458E+01,
  +3.9700000000000000E+02,  +5.8069854704710970E+01,
  +3.9800000000000000E+02,  +5.8897155015907970E+01,
  +3.9900000000000000E+02,  +5.9420611560107226E+01,
  +4.0000000000000000E+02,  +5.9374298526337583E+01,
  +4.0100000000000000E+02,  +5.9125687422649243E+01,
  +4.0200000000000000E+02,  +5.8749890195754801E+01,
  +4.0300000000000000E+02,  +5.8117832297162465E+01,
  +4.0400000000000000E+02,  +5.7562259402392982E+01,
  +4.0500000000000000E+02,  +5.7619496796566246E+01,
  +4.0600000000000000E+02,  +5.6099588267235731E+01,
  +4.0700000000000000E+02,  +5.6537254100497506E+01,
  +4.0800000000000000E+02,  +5.8539873566754260E+01,
  +4.0900000000000000E+02,  +5.9874707980462745E+01,
  +4.1000000000000000E+02,  +6.0687164723506442E+01,
  +4.1100000000000000E+02,  +6.1091075979955633E+01,
  +4.1200000000000000E+02,  +5.9580909804199166E+01,
  +4.1300000000000000E+02,  +5.8584014881224199E+01,
  +4.1400000000000000E+02,  +5.8016329747636938E+01,
  +4.1500000000000000E+02,  +5.4604866547190511E+01,
  +4.1600000000000000E+02,  +5.4009227654323631E+01,
  +4.1700000000000000E+02,  +5.2221745712038796E+01,
  +4.1800000000000000E+02,  +5.2982584840430128E+01,
  +4.1900000000000000E+02,  +5.5588281416765398E+01,
  +4.2000000000000000E+02,  +5.7391729740547184E+01,
  +4.2100000000000000E+02,  +5.8660893685829230E+01,
  +4.2200000000000000E+02,  +5.9441040465493010E+01,
  +4.2300000000000000E+02,  +5.9928540961321687E+01,
  +4.2400000000000000E+02,  +5.9970830865643165E+01,
  +4.2500000000000000E+02,  +5.7791673534706000E+01,
  +4.2600000000000000E+02,  +5.6947060955382732E+01,
  +4.2700000000000000E+02,  +5.7679939131364307E+01,
  +4.2800000000000000E+02,  +5.8076157969346269E+01,
  +4.2900000000000000E+02,  +5.5661777551767649E+01,
  +4.3000000000000000E+02,  +5.6121999381216199E+01,
  +4.3100000000000000E+02,  +5.6099467803777316E+01,
  +4.3200000000000000E+02,  +5.7229438087488141E+01,
  +4.3300000000000000E+02,  +5.9688473182991657E+01,
  +4.3400000000000000E+02,  +6.1235764769691009E+01,
  +4.3500000000000000E+02,  +6.2003602995322048E+01,
  +4.3600000000000000E+02,  +6.2421520142087680E+01,
  +4.3700000000000000E+02,  +6.2406732628218059E+01,
  +4.3800000000000000E+02,  +6.0299613854827179E+01,
  +4.3900000000000000E+02,  +5.7115010034640733E+01,
  +4.4000000000000000E+02,  +5.4286142366458002E+01,
  +4.4100000000000000E+02,  +5.1709908542040374E+01,
  +4.4200000000000000E+02,  +5.3492329525777087E+01,
  +4.4300000000000000E+02,  +5.7031158472285490E+01,
  +4.4400000000000000E+02,  +5.9448814261175137E+01,
  +4.4500000000000000E+02,  +6.0909454961195763E+01,
  +4.4600000000000000E+02,  +6.1632427365891708E+01,
  +4.4700000000000000E+02,  +6.1988718620963617E+01,
  +4.4800000000000000E+02,  +6.2020667677250536E+01,
  +4.4900000000000000E+02,  +6.2000840194951230E+01,
  +4.5000000000000000E+02,  +6.1813958650161744E+01,
  +4.5100000000000000E+02,  +6.1681528799824868E+01,
  +4.5200000000000000E+02,  +6.1564781959079049E+01,
  +4.5300000000000000E+02,  +6.1457543717280267E+01,
  +4.5400000000000000E+02,  +6.1935898705138904E+01,
  +4.5500000000000000E+02,  +6.2544737190216267E+01,
  +4.5600000000000000E+02,  +6.2861120346070813E+01,
  +4.5700000000000000E+02,  +6.3078582334755055E+01,
  +4.5800000000000000E+02,  +6.2115220533578793E+01,
