 TIME                                   ,T_R                                     ,
  +3.4500000000000000E+02,  +4.4235882095185538E+01,
  +3.4600000000000000E+02,  +4.2129109711938348E+01,
  +3.4700000000000000E+02,  +4.4042565082718419E+01,
  +3.4800000000000000E+02,  +4.7907857554904140E+01,
  +3.4900000000000000E+02,  +4.9646870456915387E+01,
  +3.5000000000000000E+02,  +5.0814930632836067E+01,
  +3.5100000000000000E+02,  +5.1465683793450019E+01,
  +3.5200000000000000E+02,  +5.1653306182349809E+01,
  +3.5300000000000000E+02,  +5.1642936674259843E+01,
  +3.5400000000000000E+02,  +4.8814903888252566E+01,
  +3.5500000000000000E+02,  +4.8352086617467542E+01,
  +3.5600000000000000E+02,  +4.5158584431256031E+01,
  +3.5700000000000000E+02,  +4.5636392973381540E+01,
  +3.5800000000000000E+02,  +4.8776013754069083E+01,
  +3.5900000000000000E+02,  +5.0862175517853210E+01,
  +3.6000000000000000E+02,  +5.1937516464219023E+01,
  +3.6100000000000000E+02,  +5.2608153143715619E+01,
  +3.6200000000000000E+02,  +5.2993122117341819E+01,
  +3.6300000000000000E+02,  +5.3263865919147690E+01,
  +3.6400000000000000E+02,  +5.3359923489234170E+01,
  +3.6500000000000000E+02,  +5.2883494935314474E+01,
  +3.6600000000000000E+02,  +4.8919351783528356E+01,
  +3.6700000000000000E+02,  +4.3024960014598840E+01,
  +3.6800000000000000E+02,  +4.4793948893198227E+01,
  +3.6900000000000000E+02,  +4.2694617663576800E+01,
  +3.7000000000000000E+02,  +4.4601843067050098E+01,
  +3.7100000000000000E+02,  +4.8115980715371975E+01,
  +3.7200000000000000E+02,  +4.9868953932736702E+01,
  +3.7300000000000000E+02,  +5.1046238014879627E+01,
  +3.7400000000000000E+02,  +5.1785797276861679E+01,
  +3.7500000000000000E+02,  +5.2100549103710009E+01,
  +3.7600000000000000E+02,  +5.2139963539121396E+01,
  +3.7700000000000000E+02,  +5.1999286997414984E+01,
  +3.7800000000000000E+02,  +5.1682286699175833E+01,
  +3.7900000000000000E+02,  +5.1300322053298430E+01,
  +3.8000000000000000E+02,  +4.7765563323948761E+01,
  +3.8100000000000000E+02,  +4.7707570563560424E+01,
  +3.8200000000000000E+02,  +4.6158191312183504E+01,
  +3.8300000000000000E+02,  +4.2882115359716693E+01,
  +3.8400000000000000E+02,  +4.6433590696136122E+01,
  +3.8500000000000000E+02,  +5.0489671636120548E+01,
  +3.8600000000000000E+02,  +5.1910577056846414E+01,
  +3.8700000000000000E+02,  +5.2606571219594706E+01,
  +3.8800000000000000E+02,  +5.2860396134533815E+01,
  +3.8900000000000000E+02,  +5.2487517948006563E+01,
  +3.9000000000000000E+02,  +5.1415117122672328E+01,
  +3.9100000000000000E+02,  +4.7022294413451760E+01,
  +3.9200000000000000E+02,  +4.1575412147882943E+01,
  +3.9300000000000000E+02,  +4.4144521494590045E+01,
  +3.9400000000000000E+02,  +4.7691771449041184E+01,
  +3.9500000000000000E+02,  +4.9471503168078378E+01,
  +3.9600000000000000E+02,  +5.0758007952571383E+01,
  +3.9700000000000000E+02,  +5.1589777592933395E+01,
  +3.9800000000000000E+02,  +5.2144807987104727E+01,
  +3.9900000000000000E+02,  +5.2487743112132591E+01,
  +4.0000000000000000E+02,  +5.2420547799661811E+01,
  +4.0100000000000000E+02,  +5.2231878978695924E+01,
  +4.0200000000000000E+02,  +5.1948721723679547E+01,
  +4.0300000000000000E+02,  +5.1453839865443825E+01,
  +4.0400000000000000E+02,  +5.1029288626964899E+01,
  +4.0500000000000000E+02,  +5.1126037991114096E+01,
  +4.0600000000000000E+02,  +5.1976189156659480E+01,
  +4.0700000000000000E+02,  +5.2736456194711963E+01,
  +4.0800000000000000E+02,  +5.3213690858134981E+01,
  +4.0900000000000000E+02,  +5.3536521743086467E+01,
  +4.1000000000000000E+02,  +5.3729102685348202E+01,
  +4.1100000000000000E+02,  +5.3799137301782174E+01,
  +4.1200000000000000E+02,  +5.3775709926098436E+01,
  +4.1300000000000000E+02,  +5.1935877275773464E+01,
  +4.1400000000000000E+02,  +5.0628468265434790E+01,
  +4.1500000000000000E+02,  +4.7258871788457888E+01,
  +4.1600000000000000E+02,  +4.7607026316139532E+01,
  +4.1700000000000000E+02,  +4.5594764551040157E+01,
  +4.1800000000000000E+02,  +4.7061133138245054E+01,
  +4.1900000000000000E+02,  +4.9767799701101737E+01,
  +4.2000000000000000E+02,  +5.1073871516059576E+01,
  +4.2100000000000000E+02,  +5.1970056053901068E+01,
  +4.2200000000000000E+02,  +5.2488915085911714E+01,
  +4.2300000000000000E+02,  +5.2810199517476917E+01,
  +4.2400000000000000E+02,  +5.2825706985923190E+01,
  +4.2500000000000000E+02,  +5.0887472711177793E+01,
  +4.2600000000000000E+02,  +5.0505311247291203E+01,
  +4.2700000000000000E+02,  +5.1238587135288398E+01,
  +4.2800000000000000E+02,  +5.1502575966927644E+01,
  +4.2900000000000000E+02,  +5.1666888758525296E+01,
  +4.3000000000000000E+02,  +5.2522145683739566E+01,
  +4.3100000000000000E+02,  +5.3358127987362010E+01,
  +4.3200000000000000E+02,  +5.3874822132023702E+01,
  +4.3300000000000000E+02,  +5.4202477851775967E+01,
  +4.3400000000000000E+02,  +5.4400584102368668E+01,
  +4.3500000000000000E+02,  +5.4466571523014281E+01,
  +4.3600000000000000E+02,  +5.4001052117809138E+01,
  +4.3700000000000000E+02,  +5.3747595580796400E+01,
  +4.3800000000000000E+02,  +5.2286808029396340E+01,
  +4.3900000000000000E+02,  +4.9558114791876619E+01,
  +4.4000000000000000E+02,  +4.6808431341692639E+01,
  +4.4100000000000000E+02,  +4.4226120029084605E+01,
  +4.4200000000000000E+02,  +4.7371895381259769E+01,
  +4.4300000000000000E+02,  +5.1044599055108527E+01,
  +4.4400000000000000E+02,  +5.2629216414725434E+01,
  +4.4500000000000000E+02,  +5.3462193161559874E+01,
  +4.4600000000000000E+02,  +5.3848953126252724E+01,
  +4.4700000000000000E+02,  +5.4044758314276564E+01,
  +4.4800000000000000E+02,  +5.4075778760150243E+01,
  +4.4900000000000000E+02,  +5.4073283733672994E+01,
  +4.5000000000000000E+02,  +5.3978112769316816E+01,
