index,electricity,PV,temp,heat_water,heat_space
446,0.0,0.0,0.679,0.400000006,3.900000095
447,0.0,0.0,-1.998,0.400000006,3.900000095
448,0.0,0.0,-2.793,0.5,4.599999905
449,0.0,0.0,-2.797,0.600000024,4.400000095
450,0.0,0.0,-2.941,0.800000012,5.199999809
451,0.0,0.0,-3.157,0.899999976,4.900000095
452,0.0,0.0,-3.382,0.899999976,5.199999809
453,0.0,0.0,-3.604,0.899999976,5.199999809
454,0.0,0.0,-3.846,0.5,3.0
455,0.0,0.0,-4.076,0.300000012,2.799999952
456,0.0,0.0,-4.277,0.200000003,3.0
457,0.0,0.0,-4.438,0.100000001,2.700000048
458,0.0,0.0,-4.557,0.100000001,3.5
459,0.0,0.0,-4.605,0.0,3.200000048
460,0.0,0.0,-4.62,0.100000001,3.400000095
461,0.0,0.0,-4.638,0.100000001,5.900000095
462,0.0,0.0,-4.671,0.100000001,7.199999809
463,0.0,0.0,-4.482,0.200000003,7.199999809
464,0.0,0.0,-2.971,0.5,6.5
465,0.0,0.0,-1.401,1.0,6.0
466,0.0,0.0,-0.098,1.200000048,6.400000095
467,0.0,0.0,0.753,1.100000024,5.800000191
468,0.0,0.0,1.235,1.0,5.900000095
469,0.0,0.0,1.198,0.800000012,5.099999905
470,0.0,0.0,0.15,0.699999988,5.199999809
471,0.0,0.0,-2.251,0.600000024,5.599999905
472,0.0,0.0,-3.233,0.600000024,5.900000095
473,0.0,0.0,-3.452,0.600000024,5.699999809
474,0.0,0.0,-3.636,0.699999988,6.199999809
475,0.0,0.0,-3.814,0.800000012,7.0
476,0.0,0.0,-3.992,0.800000012,7.699999809
477,0.0,0.0,-4.169,0.600000024,7.400000095
478,0.0,0.0,-4.391,0.5,4.400000095
479,0.0,0.0,-4.601,0.300000012,3.599999905
480,0.0,0.0,-4.745,0.200000003,3.799999952
481,0.0,0.0,-4.892,0.100000001,3.799999952
482,0.0,0.0,-5.189,0.100000001,3.799999952
483,0.0,0.0,-5.49,0.0,3.900000095
484,0.0,0.0,-5.79,0.100000001,4.199999809
485,0.0,0.0,-6.066,0.100000001,5.699999809
486,0.0,0.0,-6.426,0.100000001,7.300000191
487,0.0,0.0,-6.615,0.200000003,6.900000095
488,0.0,0.0,-5.138,0.600000024,6.5
489,0.0,0.0,-3.58,1.0,5.300000191
490,0.0,0.0,-1.56,1.0,4.599999905
491,0.0,0.0,-0.08,1.100000024,4.400000095
492,0.0,0.0,0.611,1.0,4.300000191
493,0.0,0.0,0.779,0.800000012,4.400000095
494,0.0,0.0,0.046,0.699999988,4.199999809
495,0.0,0.0,-1.508,0.600000024,4.400000095
496,0.0,0.0,-2.332,0.600000024,4.5
497,0.0,0.0,-3.014,0.600000024,5.099999905
498,0.0,0.0,-3.873,0.800000012,6.0
499,0.0,0.0,-4.842,0.800000012,5.800000191
500,0.0,0.0,-5.69,0.699999988,5.800000191
501,0.0,0.0,-6.235,0.600000024,5.599999905
502,0.0,0.0,-6.605,0.5,3.200000048
503,0.0,0.0,-6.903,0.300000012,2.599999905
