 TIME                                   ,T_R                                     ,
  +4.3900000000000000E+02,  +4.9664559338039993E+01,
  +4.4000000000000000E+02,  +4.6938714513717542E+01,
  +4.4100000000000000E+02,  +4.4376741172270364E+01,
  +4.4200000000000000E+02,  +4.7475041621219319E+01,
  +4.4300000000000000E+02,  +5.1104963676400274E+01,
  +4.4400000000000000E+02,  +5.2675273857180414E+01,
  +4.4500000000000000E+02,  +5.3501601805852026E+01,
  +4.4600000000000000E+02,  +5.3885716659862631E+01,
  +4.4700000000000000E+02,  +5.4080220021252316E+01,
  +4.4800000000000000E+02,  +5.4111170151040369E+01,
  +4.4900000000000000E+02,  +5.4108536200048732E+01,
  +4.5000000000000000E+02,  +5.4013859586612057E+01,
  +4.5100000000000000E+02,  +5.3942736029777897E+01,
  +4.5200000000000000E+02,  +5.3876265612782788E+01,
  +4.5300000000000000E+02,  +5.3814796432388754E+01,
  +4.5400000000000000E+02,  +5.3214086481927218E+01,
  +4.5500000000000000E+02,  +5.3408580141093317E+01,
  +4.5600000000000000E+02,  +5.4051814702378223E+01,
  +4.5700000000000000E+02,  +5.4358153221123288E+01,
  +4.5800000000000000E+02,  +5.3933278221956911E+01,
  +4.5900000000000000E+02,  +5.3851124377028540E+01,
  +4.6000000000000000E+02,  +5.4179026386705459E+01,
  +4.6100000000000000E+02,  +5.3072206308621489E+01,
  +4.6200000000000000E+02,  +5.2318707450391635E+01,
  +4.6300000000000000E+02,  +5.0186986739414827E+01,
  +4.6400000000000000E+02,  +4.6672457275176285E+01,
  +4.6500000000000000E+02,  +4.8246330197514567E+01,
  +4.6600000000000000E+02,  +4.7047719077318995E+01,
  +4.6700000000000000E+02,  +4.8193460951588726E+01,
  +4.6800000000000000E+02,  +5.0645838874621838E+01,
  +4.6900000000000000E+02,  +5.1877284554255972E+01,
  +4.7000000000000000E+02,  +5.2647219213362824E+01,
  +4.7100000000000000E+02,  +5.3005461760234489E+01,
  +4.7200000000000000E+02,  +5.3138685837955485E+01,
  +4.7300000000000000E+02,  +5.3235491365085977E+01,
  +4.7400000000000000E+02,  +5.3224107931177144E+01,
  +4.7500000000000000E+02,  +5.3029039751908542E+01,
  +4.7600000000000000E+02,  +5.2704892014261574E+01,
  +4.7700000000000000E+02,  +5.2508325331456589E+01,
  +4.7800000000000000E+02,  +5.2981939632407396E+01,
