 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +1.8500000000000000E+02,  +5.5229999999999997E+00,  +7.0000000000000000E+02,
  +1.8600000000000000E+02,  +5.5910000000000002E+00,  +7.0000000000000000E+02,
  +1.8700000000000000E+02,  +5.6669999999999998E+00,  +7.0000000000000000E+02,
  +1.8800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.8900000000000000E+02,  +7.8499999999999996E+00,  +7.0000000000000000E+02,
  +1.9000000000000000E+02,  +6.3730000000000002E+00,  +7.0000000000000000E+02,
  +1.9100000000000000E+02,  +5.1589999999999998E+00,  +7.0000000000000000E+02,
  +1.9200000000000000E+02,  +4.2779999999999996E+00,  +7.0000000000000000E+02,
  +1.9300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9400000000000000E+02,  +4.8159999999999998E+00,  +7.0000000000000000E+02,
  +1.9500000000000000E+02,  +4.1349999999999998E+00,  +7.0000000000000000E+02,
  +1.9600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9700000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0200000000000000E+02,  +1.4486000000000001E+01,  +7.0000000000000000E+02,
  +2.0300000000000000E+02,  +1.1233000000000001E+01,  +7.0000000000000000E+02,
  +2.0400000000000000E+02,  +8.7379999999999995E+00,  +7.0000000000000000E+02,
  +2.0500000000000000E+02,  +7.0560000000000000E+00,  +7.0000000000000000E+02,
  +2.0600000000000000E+02,  +5.9880000000000004E+00,  +7.0000000000000000E+02,
  +2.0700000000000000E+02,  +5.1870000000000003E+00,  +7.0000000000000000E+02,
  +2.0800000000000000E+02,  +4.7539999999999996E+00,  +7.0000000000000000E+02,
  +2.0900000000000000E+02,  +4.5160000000000000E+00,  +7.0000000000000000E+02,
  +2.1000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
